Pathway name	RSPSS4	RSBA7	RSMOLK2	RSRUN2340	RSCFB2957	RSBDBR229	RSGMI1000	RSK60	RSPSI07	RSR24	RSUW551
d_galacturonate_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
d_glucarate_and_d_galactarate_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
d_gluconate_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
d_glucuronate_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
diadenosine_metabolism	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
disulfide_bound_transfert	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dtdp_l_rhamnose_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
efflux_pump	[]	[]	[R_CANAt2pp]	[]	[]	[]	[]	[]	[]	[]	[]
entner_doudoroff_pathway	[]	[R_G1DH]	[R_G1DH]	[]	[R_G1DH]	[]	[]	[R_G1DH]	[]	[R_G1DH]	[R_G1DH]
eps_biosynthesis	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ethanol_degradation	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ethanol_metabolism	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ethylene_biosynthesis	[]	[R_LAAO2ex]	[]	[]	[]	[R_EFE]	[]	[]	[]	[]	[]
ethylene_quenching	[]	[]	[]	[]	[]	[R_ACPCD]	[]	[]	[]	[]	[]
exchange_antibiotic_compound	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
