ids	RSBA7	RSBDBR229	RSCFB2957	RSGMI1000	RSK60	RSMOLK2	RSPSI07	RSPSS4	RSR24	RSRUN2340	RSUW551
M_3hocoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3hoctACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3hoctaACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3hodcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3hoxid_c	1	1	1	1	1	1	1	1	1	1	1
M_3hoxid_e	1	1	1	1	1	1	1	1	1	1	1
M_3hoxid_p	1	1	1	1	1	1	1	1	1	1	1
M_3hpalmACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3hpcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3hpp_c	1	1	1	1	1	1	1	1	1	1	1
M_3hpp_e	1	1	1	1	1	1	1	1	1	1	1
M_3hpp_p	1	1	1	1	1	1	1	1	1	1	1
M_3hpppn_c	1	1	1	1	1	1	1	1	1	1	1
M_3hpppn_e	1	1	1	1	1	1	1	1	1	1	1
M_3hpppn_p	1	1	1	1	1	1	1	1	1	1	1
M_3htdcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3ig3p_c	1	1	1	1	1	1	1	1	1	1	1
M_3ivcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3mb2coa_c	1	1	1	1	1	1	1	1	1	1	1
M_3mbcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3mbzald_c	1	0	1	1	0	1	1	1	0	1	1
M_3mccoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3mgcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3mhdd_c	1	1	1	0	1	1	1	0	0	0	1
M_3mob_c	1	1	1	1	1	1	1	1	1	1	1
M_3mop_c	1	1	1	1	1	1	1	1	1	1	1
M_3ocddec5eACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3ocmrs7eACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3ocpalm9eACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3ocvac11eACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3odcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3oddcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3oddecACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3odecACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3ohcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3ohdcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3ohexACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3ohodcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3ohpame_c	1	1	1	1	1	1	1	1	1	1	1
M_3ohpame_e	1	1	1	1	1	1	1	1	1	1	1
M_3ohpame_p	1	1	1	1	1	1	1	1	1	1	1
M_3omgal_c	0	1	0	0	0	1	1	0	1	0	1
M_3omrsACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3oochslac_e	1	1	1	1	1	1	1	1	1	1	1
M_3oochslac_p	1	1	1	1	1	1	1	1	1	1	1
M_3oocoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3ooctACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3oocta_e	1	1	1	1	1	1	1	1	1	1	1
M_3oocta_p	1	1	1	1	1	1	1	1	1	1	1
M_3ooctdACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3opalmACP_c	1	1	1	1	1	1	1	1	1	1	1
M_3ophb_c	1	1	1	1	1	1	1	1	1	1	1
M_3opimcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3otdcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3oxdhscoa_c	1	1	1	1	1	1	1	1	1	1	1
M_3oxoadp_c	1	1	1	1	1	1	1	1	1	1	1
M_3pg_c	1	1	1	1	1	1	1	1	1	1	1
M_3php_c	1	1	1	1	1	1	1	1	1	1	1
M_3psme_c	1	1	1	1	1	1	1	1	1	1	1
M_3sulmc_c	1	1	1	1	1	1	1	1	1	1	1
M_3uib_c	1	1	1	0	1	1	1	0	1	1	1
M_3ump_p	1	1	1	1	0	1	1	1	1	1	1
M_3urdpp_c	1	1	1	0	1	1	1	0	1	1	1
M_4aabutn_c	1	1	1	1	1	1	1	1	1	1	1
M_4abut_c	1	1	1	1	1	1	1	1	1	1	1
M_4abut_e	1	1	1	1	1	1	1	1	1	1	1
M_4abut_p	1	1	1	1	1	1	1	1	1	1	1
M_4abutn_c	1	1	1	1	1	1	1	1	1	1	1
M_4abz_c	1	1	1	1	1	1	1	1	1	1	1
M_4adcho_c	1	1	1	1	1	1	1	1	1	1	1
M_4ahmmp_c	1	1	1	1	1	1	1	1	1	1	1
M_4ampm_c	1	1	1	1	1	1	1	1	1	1	1
M_4c2hmucsah_c	1	1	1	1	1	1	1	1	1	1	1
M_4c2me_c	1	1	1	1	1	1	1	1	1	1	1
M_4c2o4pent_c	1	1	1	1	1	0	1	1	1	1	1
M_4c4h2oadip_c	1	1	1	1	1	0	1	1	1	1	1
M_4chcat_c	1	1	1	0	1	1	1	0	0	0	1
M_4cml_c	1	1	1	1	1	1	1	1	1	1	1
M_4ethp_c	1	1	1	1	1	1	1	1	1	1	1
M_4fchcd_c	0	0	0	0	0	0	0	1	0	0	0
M_4fchdc_c	1	1	1	0	1	1	1	0	1	0	1
M_4fe4s3_c	1	1	1	1	1	1	1	1	1	1	1
M_4fe4s_c	1	1	1	1	1	1	1	1	1	1	1
M_4flrbz_c	1	1	1	0	1	1	1	0	1	0	1
M_4flrcatech_c	1	1	1	0	1	1	1	1	1	0	1
M_4fmuclac_c	1	1	1	0	1	1	1	0	0	0	1
M_4fumacac_c	1	1	1	1	1	1	1	1	1	1	1
M_4h2kpi_c	1	1	1	1	1	1	1	1	1	1	1
M_4h2ohep_c	1	1	1	1	1	0	1	1	1	1	1
M_4h2opntn_c	1	1	1	1	1	1	1	1	1	1	1
M_4hactph_c	1	1	1	1	1	1	1	1	1	1	1
M_4hadnt_c	1	1	1	1	1	1	1	1	1	1	1
M_4hba_c	1	1	1	1	1	1	1	1	1	1	1
M_4hbald_c	1	0	1	1	0	1	1	1	0	1	1
M_4hbz_c	1	1	1	1	1	1	1	1	1	1	1
M_4hbz_e	1	1	1	1	1	1	1	1	1	1	1
M_4hbz_p	1	1	1	1	1	1	1	1	1	1	1
M_4hbzcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_4hlmdnit_c	1	1	1	1	1	1	1	1	1	1	1
M_4hmdn_c	1	1	1	1	1	1	1	1	1	1	1
M_4hmscald_c	1	1	1	1	1	0	1	1	1	1	1
M_4hmsial_c	1	1	1	1	1	1	1	1	1	1	1
M_4hoxpac_c	1	1	1	1	1	1	1	1	1	1	1
M_4hoxpac_p	1	1	1	1	1	1	1	1	1	1	1
M_4hoxpacd_p	1	0	1	0	0	1	0	0	0	0	0
M_4hphac_c	1	1	1	1	1	1	1	1	1	1	1
M_4hphac_e	1	1	1	1	1	1	1	1	1	1	1
M_4hphac_p	1	1	1	1	1	1	1	1	1	1	1
M_4hpheacoa_c	1	1	1	1	1	1	1	1	1	1	1
M_4hpro_c	1	1	1	1	1	1	1	1	1	1	1
M_4hptcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_4izp_c	1	1	1	1	1	1	1	1	1	1	1
M_4mcat_c	1	1	1	1	1	1	1	1	1	1	1
M_4mlacac_c	1	1	1	1	1	1	1	1	1	1	1
M_4mmclac_c	1	1	1	0	1	1	1	0	0	0	1
M_4mop_c	1	1	1	1	1	1	1	1	1	1	1
M_4mpetz_c	1	1	1	1	1	1	1	1	1	1	1
M_4nph_c	1	1	1	1	1	1	1	1	1	1	1
M_4nph_p	1	1	1	1	1	1	1	1	1	1	1
M_4ob124tc_c	0	1	0	0	0	1	1	0	1	0	1
M_4oxptcoa_c	1	1	1	1	1	1	1	1	1	1	1
M_4pasp_c	1	1	1	1	1	1	1	1	1	1	1
M_4per_c	1	1	1	1	1	1	1	1	1	1	1
M_4ppan_c	1	1	1	1	1	1	1	1	1	1	1
M_4ppcys_c	1	1	1	1	1	1	1	1	1	1	1
M_4r5au_c	1	1	1	1	1	1	1	1	1	1	1
M_4sulcat_c	1	1	1	1	1	1	1	1	1	1	1
M_4sullac_c	1	1	1	1	1	1	1	1	1	1	1
M_56dihindlcrbxlt_e	1	1	1	1	1	1	1	1	1	1	1
M_56dthm_c	0	1	0	0	0	0	1	0	1	0	0
M_56dura_c	0	1	0	0	0	0	1	0	1	0	0
M_5aizc_c	1	1	1	1	1	1	1	1	1	1	1
M_5aop_c	1	1	1	1	1	1	1	1	1	1	1
M_5apentam_c	1	1	1	1	1	1	1	1	1	1	1
M_5aprbu_c	1	1	1	1	1	1	1	1	1	1	1
M_5apru_c	1	1	1	1	1	1	1	1	1	1	1
M_5c2o3e_c	1	1	1	1	1	1	1	1	1	1	1
