ids	RSBA7	RSBDBR229	RSCFB2957	RSGMI1000	RSK60	RSMOLK2	RSPSI07	RSPSS4	RSR24	RSRUN2340	RSUW551
R_ABUTtex	1	1	1	1	1	1	1	1	1	1	1
R_ACACT1r	1	1	1	1	1	1	1	1	1	1	1
R_ACACT2r	1	1	1	1	1	1	1	1	1	1	1
R_ACACT3r	1	1	1	1	1	1	1	1	1	1	1
R_ACACT4r	1	1	1	1	1	1	1	1	1	1	1
R_ACACT5r	1	1	1	1	1	1	1	1	1	1	1
R_ACACT6r	1	1	1	1	1	1	1	1	1	1	1
R_ACACT7r	1	1	1	1	1	1	1	1	1	1	1
R_ACACT8r	1	1	1	1	1	1	1	1	1	1	1
R_ACALD	1	1	1	1	1	1	1	1	1	1	1
R_ACBIPGT	1	1	1	1	1	1	1	1	1	1	1
R_ACCOAC	1	1	1	1	1	1	1	1	1	1	1
R_ACCSYN1	1	1	1	1	1	1	1	1	1	1	1
R_ACCSYN2	1	1	1	1	1	1	1	1	1	1	1
R_ACCtex	1	1	1	1	1	1	1	1	1	1	1
R_ACCtpp	1	1	1	1	1	1	1	1	1	1	1
R_ACDH1	1	1	1	1	1	0	1	1	1	1	1
R_ACDH2	1	1	1	1	1	0	1	1	1	1	1
R_ACDH3	1	1	1	1	1	0	1	1	1	1	1
R_ACDH4	1	1	1	1	1	0	1	1	1	1	1
R_ACDH5	1	1	1	1	1	0	1	1	1	1	1
R_ACDH6	1	1	1	1	1	0	1	1	1	1	1
R_ACDH7	1	1	1	1	1	0	1	1	1	1	1
R_ACDH8	1	1	1	1	1	0	1	1	1	1	1
R_ACGAMK	1	1	1	1	1	1	1	1	1	1	1
R_ACGK	1	1	1	1	1	1	1	1	1	1	1
R_ACGLUt2pp	1	1	1	1	1	1	1	1	1	1	1
R_ACGLUtex	1	1	1	1	1	1	1	1	1	1	1
R_ACGS	1	1	1	1	1	1	1	1	1	1	1
R_ACHBS	1	1	1	1	1	1	1	1	1	1	1
R_ACKr	1	1	1	0	1	1	1	0	1	0	1
R_ACLDc	1	1	1	1	1	1	1	1	1	1	1
R_ACLDn	1	1	1	1	1	1	1	1	1	1	1
R_ACLS	1	1	1	1	1	1	1	1	1	1	1
R_ACM6PH	1	1	1	1	1	1	1	1	1	1	1
R_ACMANAPP	1	1	1	1	1	1	1	1	1	1	1
R_ACOAD1f	1	1	1	1	1	1	1	1	1	1	1
R_ACOAD2f	1	1	1	1	1	1	1	1	1	1	1
R_ACOAD3f	1	1	1	1	1	1	1	1	1	1	1
R_ACOAD4f	1	1	1	1	1	1	1	1	1	1	1
R_ACOAD5f	1	1	1	1	1	1	1	1	1	1	1
R_ACOAD6f	1	1	1	1	1	1	1	1	1	1	1
R_ACOAD7f	1	1	1	1	1	1	1	1	1	1	1
R_ACOAD8f	1	1	1	1	1	1	1	1	1	1	1
R_ACOADG	1	1	1	1	1	1	1	1	1	1	1
R_ACOADH1	1	1	1	1	1	1	1	1	1	1	1
R_ACOADH3	1	1	1	1	1	1	1	1	1	1	1
R_ACOADH4	1	1	1	1	1	1	1	1	1	1	1
R_ACOADH5	1	1	1	1	1	1	1	1	1	1	1
R_ACOATA	1	1	1	1	1	1	1	1	1	1	1
R_ACODA	1	1	1	1	1	1	1	1	1	1	1
R_ACONCtex	1	1	1	1	1	1	1	1	1	1	1
R_ACONCtupp	1	1	1	1	1	1	1	1	1	1	1
R_ACONTa	1	1	1	1	1	1	1	1	1	1	1
R_ACONTb	1	1	1	1	1	1	1	1	1	1	1
R_ACONtpp	1	1	1	1	1	1	1	1	1	1	1
R_ACOTA	1	1	1	1	1	1	1	1	1	1	1
R_ACPCD	1	0	1	1	1	1	1	1	1	1	1
R_ACPPAT120	1	1	1	1	1	1	1	1	1	1	1
R_ACPPAT140	1	1	1	1	1	1	1	1	1	1	1
R_ACPPAT141	1	1	1	1	1	1	1	1	1	1	1
R_ACPPAT160	1	1	1	1	1	1	1	1	1	1	1
R_ACPPAT161	1	1	1	1	1	1	1	1	1	1	1
R_ACPPAT180	1	1	1	1	1	1	1	1	1	1	1
R_ACPPAT181	1	1	1	1	1	1	1	1	1	1	1
R_ACPS1	1	1	1	1	1	1	1	1	1	1	1
R_ACRCSYN1	1	1	1	1	1	1	1	1	1	1	1
R_ACRCSYN2	1	1	1	1	1	1	1	1	1	1	1
R_ACS	1	1	1	1	1	1	1	1	1	1	1
R_ACS2	1	1	1	1	1	1	1	1	1	1	1
R_ACSERtex	1	1	1	1	1	1	1	1	1	1	1
R_ACSERtpp	1	1	1	1	1	1	1	1	1	1	1
R_ACTD2	0	0	0	0	0	0	0	0	1	0	0
R_ACTF2	1	1	1	1	1	1	1	1	1	1	1
R_ACTF4	1	1	1	1	1	1	1	1	1	1	1
R_ACTF5	1	1	1	1	1	1	1	1	1	1	1
R_ACTNabc	1	1	1	1	1	1	1	1	1	1	1
R_ACTNabc1	1	1	1	1	1	1	1	1	1	1	1
R_ACYP	1	1	1	1	1	1	1	1	1	1	1
R_ACYP_2	1	1	1	1	1	1	1	1	1	1	1
R_ACt4pp	1	1	1	1	1	1	1	1	1	1	1
R_ACtex	1	1	1	1	1	1	1	1	1	1	1
R_ADA	1	1	1	1	1	1	1	1	1	1	1
R_ADCL	1	1	1	1	1	1	1	1	1	1	1
R_ADCPS2	1	1	1	1	1	1	1	1	1	1	1
R_ADCS	1	1	1	1	1	1	1	1	1	1	1
R_ADCYRS	1	1	1	1	1	1	1	1	1	1	1
R_ADEt2rpp	1	1	1	1	1	1	1	1	1	1	1
R_ADEtex	1	1	1	1	1	1	1	1	1	1	1
R_ADIPL	1	1	1	1	1	1	1	1	1	1	1
R_ADK1	1	1	1	1	1	1	1	1	1	1	1
R_ADK2	1	1	1	1	1	1	1	1	1	1	1
R_ADK3	1	1	1	1	1	1	1	1	1	1	1
R_ADK4	1	1	1	1	1	1	1	1	1	1	1
R_ADMDC	1	0	1	1	1	1	1	1	1	1	1
R_ADNCYC	1	1	1	1	1	1	1	1	1	1	1
R_ADNK1	1	1	1	1	1	1	1	1	1	1	1
R_ADNUC	1	1	1	1	0	0	1	1	1	0	0
R_ADNtex	1	1	1	1	1	1	1	1	1	1	1
R_ADOCBIK	1	1	1	1	1	1	1	1	1	1	1
R_ADOCBLS	1	1	1	1	1	1	1	1	1	1	1
R_ADOCBLabcpp	1	1	1	1	1	1	1	1	1	1	1
R_ADOCBLtonex	1	1	1	1	1	1	1	1	1	1	1
R_ADPRDP	1	1	1	1	1	1	1	1	1	1	1
R_ADPT	1	1	1	1	1	1	1	1	1	1	1
R_ADPT2	1	1	1	1	1	1	1	1	1	1	1
R_ADSK	1	1	1	1	1	1	1	1	1	1	1
R_ADSL1r	1	1	1	1	1	1	1	1	1	1	1
R_ADSL2r	1	1	1	1	1	1	1	1	1	1	1
R_ADSS	1	1	1	1	1	1	1	1	1	1	1
R_AEPabcpp	0	0	0	0	0	1	1	0	0	0	1
R_AGDC	1	1	1	1	1	1	1	1	1	1	1
R_AGM3PA	1	1	1	1	1	1	1	1	1	1	1
R_AGM3PApp	1	1	1	1	1	1	1	1	1	1	1
R_AGM3PH	1	1	1	1	1	1	1	1	1	1	1
R_AGM3Pt2pp	1	1	1	1	1	1	1	1	1	1	1
R_AGM4PA	1	1	1	1	1	1	1	1	1	1	1
R_AGM4PApp	1	1	1	1	1	1	1	1	1	1	1
R_AGM4PCP	1	1	1	1	1	1	1	1	1	1	1
R_AGM4PCPpp	1	1	1	1	1	1	1	1	1	1	1
R_AGM4PH	1	1	1	1	1	1	1	1	1	1	1
R_AGM4Pt2pp	1	1	1	1	1	1	1	1	1	1	1
R_AGMDH	1	1	1	1	1	1	1	1	1	1	1
R_AGMH	1	1	1	1	1	1	1	1	1	1	1
