STM0229	XFCFBP8418_024910
STM0228	XFCFBP8418_024900
STM0227	XFCFBP8418_024890
STM3730	XFCFBP8418_015430
STM3972	XFCFBP8418_017800
STM1431	XFCFBP8418_000530
STM1431	XFCFBP8418_012590
STM0226	XFCFBP8418_024880
STM3731	XFCFBP8418_015440
STM1433	XFCFBP8418_013020
STM2401	XFCFBP8418_015020
STM3866	XFCFBP8418_023630
STM0113	XFCFBP8418_017930
STM0112	XFCFBP8418_021500
STM3865	XFCFBP8418_023640
STM1446	XFCFBP8418_015560
STM0111	XFCFBP8418_021520
STM0232	XFCFBP8418_026800
STM2415	XFCFBP8418_011070
STM3868	XFCFBP8418_023610
STM2536	XFCFBP8418_026020
STM0110	XFCFBP8418_021510
STM3867	XFCFBP8418_023620
STM3869	XFCFBP8418_023600
STM1209	XFCFBP8418_021350
STM3624A	XFCFBP8418_010590
STM3062	XFCFBP8418_020190
STM2094	XFCFBP8418_026230
STM2095	XFCFBP8418_026240
STM2096	XFCFBP8418_026220
STM3063	XFCFBP8418_001410
STM4273	XFCFBP8418_020610
STM2097	XFCFBP8418_026250
STM2098	XFCFBP8418_004800
STM4275	XFCFBP8418_020630
STM3862	XFCFBP8418_023670
STM3069	XFCFBP8418_011060
STM3861	XFCFBP8418_015350
STM3740	XFCFBP8418_002650
STM2531	XFCFBP8418_020460
STM3864	XFCFBP8418_023650
STM2654	XFCFBP8418_014890
STM3742	XFCFBP8418_008750
STM0443	XFCFBP8418_003690
STM0322	XFCFBP8418_025220
STM0442	XFCFBP8418_003700
STM0321	XFCFBP8418_025230
STM2502	XFCFBP8418_012360
STM0441	XFCFBP8418_003710
STM1777	XFCFBP8418_012920
STM0683	XFCFBP8418_003030
STM0440	XFCFBP8418_003720
STM1779	XFCFBP8418_012890
STM0680	XFCFBP8418_015130
STM3390	XFCFBP8418_027910
STM3390	XFCFBP8418_000160
STM3390	XFCFBP8418_001680
STM3391	XFCFBP8418_000170
STM3391	XFCFBP8418_027900
STM3391	XFCFBP8418_001690
STM2062	XFCFBP8418_020420
STM4366	XFCFBP8418_007280
STM4247	XFCFBP8418_010700
STM1772	XFCFBP8418_022230
STM4007	XFCFBP8418_017710
STM4248	XFCFBP8418_014480
STM0202	XFCFBP8418_019220
STM2500	XFCFBP8418_006660
STM0444	XFCFBP8418_015550
STM0686	XFCFBP8418_004140
STM2984	XFCFBP8418_002960
STM3965	XFCFBP8418_020760
STM1303	XFCFBP8418_003360
STM3725	XFCFBP8418_025440
STM3724	XFCFBP8418_015030
STM3040	XFCFBP8418_023900
STM2071	XFCFBP8418_020330
STM2072	XFCFBP8418_020320
STM2073	XFCFBP8418_020310
STM2074	XFCFBP8418_020300
STM2075	XFCFBP8418_020290
STM2076	XFCFBP8418_020280
STM2077	XFCFBP8418_020270
STM0218	XFCFBP8418_024760
STM1780	XFCFBP8418_012870
STM2991	XFCFBP8418_011590
STM2078	XFCFBP8418_020260
STM4137	XFCFBP8418_012220
STM2510	XFCFBP8418_004770
STM2511	XFCFBP8418_004780
STM0213	XFCFBP8418_015100
STM1301	XFCFBP8418_023820
