PP_0362	STM0794
PP_0481	STM1318
PP_1339	STM0130
PP_1338	STM0129
PP_1337	STM0128
PP_1457	STM1883
PP_0489	STM1570
PP_0489	STM4037
PP_1334	STM0125
PP_0366	STM1489
PP_0366	STM0797
PP_1213	STM1901
PP_1333	STM0124
PP_1332	STM0123
PP_0243	STM2818
PP_4963	STM3069
PP_2543	STM2793
PP_4965	STM3076
PP_4965	STM2474
PP_4723	STM0067
PP_4964	STM3070
PP_4967	STM3090
PP_4725	STM0064
PP_3999	STM3477
PP_4724	STM0066
PP_2428	STM1522
PP_0493	STM3683
PP_0491	STM1568
PP_0491	STM4035
PP_0490	STM1569
PP_0490	STM4036
PP_3727	STM2200
PP_0338	STM0153
PP_1426	STM2641
PP_0336	STM4408
PP_1304	STM2934
PP_0214	STM2792
PP_1303	STM2935
PP_0213	STM2791
PP_1300	STM0662
PP_1300	STM2351
PP_1300	STM0828
PP_1783	STM2095
PP_2872	STM1517
PP_1784	STM2096
PP_1785	STM3922
PP_1785	STM2097
PP_4811	STM0322
PP_3600	STM3827
PP_3600	STM2962
PP_1664	STM2500
PP_3601	STM3250
PP_4810	STM0645
PP_4934	STM3200
PP_0219	STM0246
PP_1308	STM4100
PP_1308	STM3624A
PP_4935	STM0984
PP_0339	STM0152
PP_1672	STM1718
PP_0341	STM3711
PP_0228	STM3699
PP_4828	STM2033
PP_0227	STM1954
PP_0226	STM0829
PP_1436	STM2578
PP_0225	STM0662
PP_0225	STM2351
PP_0225	STM0828
PP_0586	STM0498
PP_0586	STM0353
PP_0344	STM3721
PP_0343	STM3722
PP_0342	STM3712
PP_4701	STM4221
PP_4822	STM4176
PP_4700	STM0181
PP_1677	STM2019
PP_2645	STM3763
PP_2645	STM4456
PP_4702	STM4275
PP_4823	STM4175
PP_1678	STM2018
PP_1799	STM2109
PP_4947	STM1124
PP_4826	STM2027
PP_4946	STM1125
PP_0558	STM3380
PP_1649	STM1647
PP_1529	STM2984
PP_3829	STM0782
PP_0434	STM1446
PP_0675	STM1299
PP_1400	STM2654
PP_0795	STM2204
PP_0795	STM3255
PP_0432	STM4121
PP_4919	STM3185
PP_0794	STM2205
PP_0310	STM0719
PP_0793	STM2431
PP_0793	STM2433
PP_2973	STM4236
PP_3821	STM2098
PP_3821	STM1752
PP_1765	STM2276
PP_1525	STM2483
PP_0559	STM3379
PP_1768	STM0977
PP_1771	STM0980
PP_0327	STM1756
PP_1416	STM2788
PP_3958	STM0039
PP_4805	STM2831
PP_3839	STM1567
PP_0567	STM3086
PP_4807	STM0640
PP_4928	STM3724
PP_0687	STM3305
PP_0322	STM2555
PP_1893	STM0309
PP_2862	STM3205
PP_3830	STM0783
PP_1654	STM2440
PP_1654	STM2430
PP_1776	STM2084
PP_4922	STM4164
PP_1656	STM2956
PP_1777	STM2104
PP_1657	STM2954
PP_1418	STM2786
PP_4803	STM0863
PP_4803	STM2062
PP_4803	STM0637
PP_1782	STM2094
PP_0572	STM2531
PP_0691	STM0321
PP_0415	STM3483
PP_1989	STM3539
PP_1505	STM4119
PP_0777	STM1341
PP_1506	STM0488
PP_2958	STM3702
PP_0897	STM0761
PP_0897	STM0762
PP_0411	STM1226
PP_0411	STM0878
PP_0411	STM0428
PP_0774	STM2338
PP_0774	STM2466
PP_0530	STM3195
PP_1620	STM2927
PP_1985	STM0111
PP_1743	STM4273
PP_1986	STM0110
PP_0538	STM4414
PP_0659	STM4100
PP_0659	STM3624A
PP_1988	STM0112
PP_0416	STM3482
PP_0660	STM2200
PP_0547	STM4416
PP_0789	STM0146
PP_0545	STM3680
PP_3817	STM1226
PP_3817	STM0878
PP_3817	STM0428
PP_0787	STM0145
PP_0786	STM0958
PP_0422	STM1725
PP_4909	STM4578
PP_0543	STM2458
PP_3819	STM3597
PP_0421	STM1724
PP_4908	STM4348
PP_0420	STM3469
PP_1874	STM1341
PP_1996	STM2366
PP_1755	STM1469
PP_1997	STM2365
PP_4903	STM4349
PP_1636	STM4236
PP_0548	STM2356
PP_0671	STM2555
