PP_3599	RSp0826
PP_3357	RSp0226
PP_3358	RSp0225
PP_3122	RSc1570
PP_3122	RSc2254
PP_4210	RSc1118
PP_3123	RSc1571
PP_3123	RSc2253
PP_5302	RSc2153
PP_1188	RSc0330
PP_0059	RSc0523
PP_4897	RSc2539
PP_2476	RSc1766
PP_4655	RSc1442
PP_4656	RSc1441
PP_4659	RSp0274
PP_2239	RSc2802
PP_2000	RSc1976
PP_4422	RSc0028
PP_4422	RSp1611
PP_2486	RSc1202
PP_0061	RSc0526
PP_0060	RSc0524
PP_0067	RSc0072
PP_4666	RSp0649
PP_4426	RSc3409
PP_2489	RSc0702
PP_4425	RSp0932
PP_4425	RSc2260
PP_4425	RSc3408
PP_4425	RSc0484
PP_4425	RSc2106
PP_4667	RSp0650
PP_3581	RSc0510
PP_4670	RSp1203
PP_3344	RSc1382
PP_2255	RSc3275
PP_0074	RSc2777
PP_0073	RSc2192
PP_0072	RSc2184
PP_1129	RSc0767
PP_1367	RSc1106
PP_1367	RSp0065
PP_1367	RSc1873
PP_2454	RSc1017
PP_2455	RSc1016
PP_2214	RSc2534
PP_2456	RSc1015
PP_2215	RSc0276
PP_2216	RSp0652
PP_2216	RSc0274
PP_2458	RSc1013
PP_2217	RSc2872
PP_4636	RSc1632
PP_4639	RSc0047
PP_2460	RSc2548
PP_3794	RSc1609
PP_3311	RSc3096
PP_0044	RSp0492
PP_0043	RSp0493
PP_0283	RSp0932
PP_0283	RSc2260
PP_0283	RSc3408
PP_0283	RSc0484
PP_0283	RSc2106
PP_1139	RSc2439
PP_1138	RSc2438
PP_1137	RSc2437
PP_1137	RSp0017
PP_1379	RSc2251
PP_1378	RSp0007
PP_1378	RSp0075
PP_0289	RSc2950
PP_1377	RSc2252
PP_0045	RSp0491
PP_1376	RSc1093
PP_4402	RSc1798
PP_2465	RSc1577
PP_4404	RSc1271
PP_2469	RSc1581
PP_4889	RSc1226
PP_2470	RSc1582
PP_4890	RSc1225
PP_4893	RSc1221
PP_4651	RSp1207
PP_3561	RSc1095
PP_3320	RSc2945
PP_4650	RSp1206
PP_4653	RSp1678
PP_3322	RSc2989
PP_0297	RSc3296
PP_0297	RSp0045
PP_0297	RSc1100
PP_1386	RSc0011
PP_1386	RSp0819
PP_1144	RSc0510
PP_1385	RSp0312
PP_1385	RSc0010
PP_1385	RSp0818
PP_1384	RSp0817
PP_0295	RSp0067
PP_0294	RSp0066
PP_0293	RSc2946
PP_1140	RSc2440
PP_1382	RSp0806
PP_1381	RSc2249
PP_0292	RSc2947
PP_1380	RSc2250
PP_0290	RSc2948
PP_4619	RSc0384
PP_1346	RSc2833
PP_1343	RSc2837
PP_2435	RSc1019
PP_1588	RSc1394
PP_2437	RSc2020
PP_2439	RSp0245
PP_2680	RSc3128
PP_2680	RSc2110
PP_1593	RSc1406
PP_2440	RSp0246
PP_4862	RSc0730
PP_4620	RSp0690
PP_1595	RSc1408
PP_0265	RSc0685
PP_4864	RSc2438
PP_4863	RSc2437
PP_4863	RSp0017
PP_1597	RSc1410
PP_4621	RSp0691
PP_3533	RSp0483
PP_4866	RSc2440
PP_4865	RSc2439
PP_3535	RSc2921
PP_4868	RSc1031
PP_2205	RSp0656
PP_3537	RSc2242
PP_3540	RSc0261
PP_2694	RSc3128
PP_2694	RSc2110
PP_2453	RSc1306
PP_1362	RSc0572
PP_0239	RSc1340
PP_0238	RSc1339
PP_0237	RSp1383
PP_0236	RSc1337
PP_0232	RSc1199
PP_3741	RSc0062
PP_2410	RSp0493
PP_3745	RSc2666
PP_2657	RSc1530
PP_3746	RSc2667
PP_2658	RSc1531
PP_3747	RSc2668
PP_3989	RSc3438
PP_2659	RSc1532
PP_1331	RSc2850
PP_0240	RSc1341
PP_0481	RSp1581
PP_1339	RSc2842
PP_1338	RSc2843
PP_1337	RSc2844
PP_1336	RSc2845
PP_1335	RSc2846
PP_1334	RSc2847
PP_1333	RSc2848
PP_1332	RSc2849
PP_4842	RSc2040
PP_3511	RSp1327
PP_3511	RSp1358
PP_4841	RSc2041
PP_2423	RSc1877
PP_4844	RSc2038
PP_3754	RSc1637
PP_3755	RSc0244
PP_4843	RSc2039
PP_4846	RSc3133
PP_2426	RSp1124
PP_2426	RSc0632
PP_3999	RSc2420
PP_4845	RSc2037
PP_1100	RSc2366
PP_3727	RSc1758
PP_3727	RSc1757
PP_4817	RSc2042
PP_0217	RSc2450
PP_1304	RSc2421
PP_0214	RSc0029
PP_1303	RSc2422
PP_0213	RSc0028
PP_0213	RSp1611
PP_1300	RSp0932
PP_1300	RSc2260
PP_1300	RSc3408
PP_1300	RSc0484
PP_1300	RSc2106
PP_1783	RSc0684
PP_2872	RSc3261
PP_1784	RSc0683
PP_1785	RSc0682
PP_4811	RSc2741
PP_0219	RSc0921
PP_0228	RSc1162
PP_0228	RSp1439
PP_1317	RSc2929
PP_2407	RSp1397
PP_2408	RSp0491
PP_0226	RSc3409
PP_2409	RSp0492
PP_0225	RSp0932
PP_0225	RSc2260
PP_0225	RSc3408
PP_0225	RSc0484
PP_0225	RSc2106
PP_4822	RSc0504
PP_4823	RSc2191
PP_1319	RSc2927
PP_3736	RSp0222
PP_1318	RSc2928
PP_3737	RSp0223
PP_2406	RSp1398
PP_1769	RSc0904
PP_3947	RSc1890
PP_0436	RSc0496
PP_0434	RSc0495
PP_3940	RSc2352
PP_1764	RSc0897
PP_3942	RSc1822
PP_1765	RSc0898
PP_1525	RSc1390
PP_1768	RSc0903
PP_1771	RSc0908
PP_4805	RSc0918
PP_3959	RSc0969
PP_3959	RSc0970
PP_4807	RSc0062
PP_0687	RSc2823
PP_0203	RSc1302
PP_0686	RSp1381
PP_3951	RSc1570
PP_3951	RSc2254
PP_2862	RSc0701
PP_3952	RSc1571
PP_3952	RSc2253
PP_4800	RSc0322
PP_0209	RSc1199
PP_4801	RSc0323
PP_4803	RSc0327
PP_1782	RSc0685
PP_0691	RSc2819
PP_0415	RSc2879
PP_1989	RSc1987
PP_1506	RSc2533
PP_0414	RSc1731
PP_0897	RSc1955
PP_0413	RSc1732
PP_0412	RSc1733
PP_0411	RSc1734
PP_1741	RSp0064
PP_1985	RSc1990
PP_1986	RSc1989
PP_2834	RSp1615
PP_0417	RSc2881
PP_1988	RSc1988
PP_0660	RSc1758
PP_0660	RSc1757
PP_2847	RSc2034
PP_2848	RSc2030
PP_2849	RSc2029
PP_0422	RSc2885
PP_0422	RSp0680
PP_0664	RSc1327
PP_0421	RSp0681
PP_0421	RSc2884
PP_0420	RSc2882
PP_0662	RSc1328
PP_1995	RSc1984
PP_1996	RSc1980
PP_2843	RSc2035
PP_1755	RSp1279
PP_1997	RSc1979
PP_2844	RSc2033
PP_2845	RSc2032
PP_0427	RSc2854
PP_2846	RSc2031
PP_0671	RSc0729
